#string_protein_id	preferred_name	protein_size	annotation
9606.ENSP00000003084	CFTR	1480	Cystic fibrosis transmembrane conductance regulator; Epithelial ion channel that plays an important role in the regulation of epithelial ion and water transport and fluid homeostasis. Mediates the transport of chloride ions across the cell membrane. Channel activity is coupled to ATP hydrolysis. The ion channel is also permeable to HCO(3-); selectivity depends on the extracellular chloride concentration. Exerts its function also by modulating the activity of other ion channels and transporters. Plays an important role in airway fluid homeostasis. Contributes to the regulation of the pH [...] 
9606.ENSP00000160382	ACTL6B	426	Actin-like protein 6B; Involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Component of SWI/SNF chromatin remodeling complexes that carry out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner. Belongs to the neuron-specific chromatin remodeling complex (nBAF complex), as such plays a role in remodeling mononucleosomes in an ATP-dependent fashion, and is required for postmitotic neural development and dendritic outgrowth. [...] 
9606.ENSP00000166345	TRIP13	432	Pachytene checkpoint protein 2 homolog; Plays a key role in chromosome recombination and chromosome structure development during meiosis. Required at early steps in meiotic recombination that leads to non-crossovers pathways. Also needed for efficient completion of homologous synapsis by influencing crossover distribution along the chromosomes affecting both crossovers and non-crossovers pathways. Also required for development of higher-order chromosome structures and is needed for synaptonemal-complex formation. In males, required for efficient synapsis of the sex chromosomes and for  [...] 
9606.ENSP00000173527	ISOC1	298	Isochorismatase domain containing 1
9606.ENSP00000215375	ATP5D	168	ATP synthase subunit delta, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP turnover in the catalytic domain of F(1) is coupled via a rotary mechanism of the c [...] 
9606.ENSP00000217964	TBL1X	577	F-box-like/WD repeat-containing protein TBL1X; F-box-like protein involved in the recruitment of the ubiquitin/19S proteasome complex to nuclear receptor-regulated transcription units. Plays an essential role in transcription activation mediated by nuclear receptors. Probably acts as integral component of corepressor complexes that mediates the recruitment of the 19S proteasome complex, leading to the subsequent proteasomal degradation of transcription repressor complexes, thereby allowing cofactor exchange; WD repeat domain containing
9606.ENSP00000223136	FIS1	152	Mitochondrial fission 1 protein; Involved in the fragmentation of the mitochondrial network and its perinuclear clustering. Plays a minor role in the recruitment and association of the fission mediator dynamin- related protein 1 (DNM1L) to the mitochondrial surface and mitochondrial fission. Can induce cytochrome c release from the mitochondrion to the cytosol, ultimately leading to apoptosis. Also mediates peroxisomal fission; Belongs to the FIS1 family
9606.ENSP00000229239	GAPDH	335	Glyceraldehyde-3-phosphate dehydrogenase; Has both glyceraldehyde-3-phosphate dehydrogenase and nitrosylase activities, thereby playing a role in glycolysis and nuclear functions, respectively. Participates in nuclear events including transcription, RNA transport, DNA replication and apoptosis. Nuclear functions are probably due to the nitrosylase activity that mediates cysteine S-nitrosylation of nuclear target proteins such as SIRT1, HDAC2 and PRKDC. Modulates the organization and assembly of the cytoskeleton. Facilitates the CHP1-dependent microtubule and membrane associations throu [...] 
9606.ENSP00000233813	IGFBP5	272	Insulin-like growth factor-binding protein 5; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors
9606.ENSP00000245451	BMP4	408	Bone morphogenetic protein 4; Induces cartilage and bone formation. Also act in mesoderm induction, tooth development, limb formation and fracture repair. Acts in concert with PTHLH/PTHRP to stimulate ductal outgrowth during embryonic mammary development and to inhibit hair follicle induction (By similarity); Bone morphogenetic proteins
